Movie Title,Sessions,Admits,Net Revenue (MNT),Gross Revenue (MNT),Occupancy %,"ATP (Avg. Ticket Price, MNT)",Genre,Director,Cast,Production Company
Зура III: Цэвэрлэгээ,702,"63,315","657,917,999.56","723,709,800.00",34.28%,"11,430.31","Action, Crime, Thriller",Tamir Bat-Ulzii,"Bayarbat Mishigdorj, Barslhagva Batbold, Yalalt Namsrai",Fantastic Production
Баян Боол,672,"71,406","580,197,000.97","638,194,700.00",30.81%,"8,937.55",Comedy,Dashzevegiin Munhbat,"Temuujin Odkhuu, Nomin Batbayr Naransolongo Gansukh ",Mill Kino Company 
Зура 2: Цурам ажиллагаа,542,"58,790","453,427,146.38","498,660,900.00",37.49%,"8,482.07","Crime, Action, Thriller",Tamir Bat-Ulzii,"Altanshagai Jargalsaikhan, Barslhagva Batbold, Ganchuluun Baatar ",Fantastic Production
Avatar 2: Way of Water,644,"48,658","435,282,363.94","478,457,800.00",33.28%,"9,833.08","Science Fiction, Action, Adventure",James Cameron,"Sigourney Weaver, Zoe Saldana, Sam Worthington",20th Century Studios
Хэлгүй Жим-2: Дада,401,"40,414","391,308,545.46","430,409,500.00",28.05%,"10,650.01","Drama, Comedy",Gantumur Davaazul,"Tserendagva Purevdorj, Davaazul Gantumur, ",Etik Production
Монгол,684,"42,695","360,298,091.40","396,327,900.00",30.00%,"9,282.77","Drama, History",Amarsaikhan Baljinnyam ,"Amarsaikhan Baljinnyam, Sunduijav Batjargal, Dalaitseren Bayanzul",17 Production
Ноён эмэгтэй,583,"38,736","302,946,346.08","333,206,900.00",20.03%,"8,602.00","Drama, Adventure",Uranchimeg Urtnasan,"Uranchimeg Urtnasan, Dulguun Odkhuu, Dorjsuren Shadav ",
Үхлийн тойрог,783,"28,260","260,007,545.56","286,008,300.00",12.23%,"10,120.61",Horror,Tanit Jitnukul.,"Ariunbyamba Suhee, Udval Sengeeg, Byambatsogt Dashnyam ",Dream Entertainment 
Suit Busgui,430,"30,826","254,591,727.65","280,024,700.00",26.48%,"9,084.04",Horror,Luk Manini,"Undarmaa Gonchig, Erdenezaan Puntsag, Tuya Amar ",U film
Spider-Man: No Way Home,361,"30,210","243,420,254.94","267,760,600.00",37.01%,"8,863.31","Superhero, Action, Adventure, Science Fiction",Jon Watts,"Tom Holland, Toby Maguire, Andrew Garfield ",Sony Pictures
Бүсгүй,266,"22,673","229,889,908.99","252,807,900.00",24.41%,"11,150.17","Romance, Drama",Bazarsad Lkhagvadorj,"Ariunbyamba Suhee, Ariunbolor Gansukh, Hosbayar Dondog ",Mongol Film Group
Kung Fu Panda 4,435,"24,546","207,080,909.37","227,789,000.00",21.66%,"9,280.09","Animated, Action, Adventure, Martial Arts",Mike Mitchell,"Jack Black, Awkwafina, Bryan Cranston",Universal Pictures 
Хүлээх өрөө,178,"19,975","201,705,818.10","221,816,300.00",33.93%,"11,140.73",Drama ,Naranbaatar Davaasuren,"Nomingerel Jigmedsuren, Sumiyadorj Huselbaatar, Altanshagai Ganbaatar",Hulegu Pictures
Inside Out 2,528,"20,835","192,980,090.94","212,278,100.00",13.38%,"10,188.53","Animated, Fantasy, Comedy, Family",Kelsey Mann,"Amy Poehler, Maya Hawke, Kensington Tallman",Pixar
Hermel Jujigchid,315,"21,661","180,729,182.08","198,798,100.00",24.68%,"9,177.70",Comedy,Amartuvshin Tsolmon,"Huntsenguun Battulag, Erhembayar Ganbold, Anhbayar Batbaatar",F Studio
Niilsel huuhen,404,"21,661","176,153,636.66","193,757,000.00",16.50%,"8,944.97",,,,
Sureg,402,"22,186","169,999,782.21","186,996,000.00",20.48%,"8,428.56",Historical Drama,Bazarragchaa Otgontuul,"Bat-Ulzii Osor, Erhembayar Ganbold, Adiya Rentsenhorloog",Black Zebra 
Mardai,307,"20,656","160,072,909.47","176,077,800.00",21.78%,"8,524.29",Historical Drama,Jambaldorj Jamyasuren,"Enhjin Altantam, Davaazul Gantumur, Uchral Undraa",Etik Production 
Эрдэнэсийн арал,437,"16,315","157,158,000.00","172,837,200.00",19.63%,"10,593.76",Adventure,Tsegmed Orgodol,"Batnyambuu Enhtaivn, Erhembayar Ganbold, Naranmunkh Magsarjav",Orange Entertainment
Moana 2,387,"16,110","152,339,272.74","167,478,600.00",12.23%,"10,395.94","Animated, Musical, Adventure",David Derrick Jr.,"Dwayne Johnson, Awhimal Fraser, Nicole Scherzinger",Walt Disney Pictures
Хамгийн сайхан нь 2,268,"16,120","149,381,363.69","164,319,500.00",19.82%,"10,205.87",Tragicomedy,Orgodol Bat-zorig,"B. Anu-Ujin, Enhjamts Sharavjamts, Yondon Tsog ",Tsetsenenkh Production 
Зүүдний кафе,411,"18,328","148,783,818.44","163,634,700.00",18.40%,"8,928.13",Romance Drama,Ganbat Ganlkhagva,"N. Anar, B Saihanbileg, D. BIlguunbold",The Master Films
Thor: Love and Thunder,516,"18,542","148,042,618.39","162,834,800.00",11.59%,"8,781.94","Action, Adventure, Fantasy, Comedy",Taika Waititi,"Chris Hemsworth, Christian Bale, Natalie Portman ",Marvel Studios 
In Da House,289,"20,038","147,604,931.32","162,280,500.00",22.84%,"10,260.60",Comedy,Tseren Amartuvshin,"Lhagvatseren Ganbayar, Tsogtbayar Urantsogt, Suhbold Ragchaabazar",F Studio 
,,,,,,,,,,
